
4FGLName,GLON,GLAT,4FGLSig,4FGL,4FGL Class
4FGL J1828.0−1133,20.00,−0.14,5.8,4.2,spp
4FGL J1830.1−0212,28.52,3.73,4.7,3.8,
4FGL J1830.2−1005,21.54,0.05,5.0,6.3,spp
4FGL J1830.7−1634,15.85,−3.04,3.4,6.0,
4FGL J1834.7−0724,24.43,0.31,5.7,3.1,
4FGL J1834.9−0800,23.94,−0.01,5.9,4.1,
4FGL J1836.5−0651e,25.13,0.16,2.1,6.2,pwn
4FGL J1836.8−0727,24.65,−0.18,5.8,3.6,unk
4FGL J1839.0−1502,18.13,−4.13,1.9,3.8,
4FGL J1839.4−0553,26.33,−0.03,11.9,6.2,unk
4FGL J1840.8−0453e,27.37,0.12,5.7,6.3,spp
4FGL J1842.5−0359,28.37,0.16,5.7,4.3,unk
4FGL J1844.4−0306,29.37,0.13,6.5,4.7,unk
4FGL J1845.8−0831,24.71,−2.63,4.2,4.4,spp
4FGL J1847.2−0141,30.95,0.16,6.4,3.1,
4FGL J1849.4−0056,31.86,0.02,5.6,3.1,snr
4FGL J1850.3−0031,32.35,−0.00,4.7,3.9,spp
4FGL J1851.5+0718,39.46,3.30,3.0,4.8,
4FGL J1852.4+0037e,33.60,0.07,5.0,7.1,spp
4FGL J1852.6+0203,34.90,0.67,2.4,3.2,
4FGL J1853.2−0922,24.77,−4.67,2.8,4.7,
4FGL J1853.6−0620,27.53,−3.39,1.7,3.3,
4FGL J1855.2+0456,37.77,1.40,4.1,5.3,
4FGL J1855.3−0740,26.53,−4.35,5.3,4.6,
4FGL J1855.9+0121e,34.65,−0.39,28.9,24.7,SNR
4FGL J1856.2+0749,40.46,2.50,5.1,3.2,unk
4FGL J1857.7+0246e,36.13,−0.15,1.1,5.7,PWN
4FGL J1858.0+0354,37.17,0.31,8.5,5.5,
4FGL J1859.2−0706,27.47,−4.96,2.7,3.0,
4FGL J1900.4+0339,37.22,−0.34,6.3,5.5,
4FGL J1900.7+0426,37.95,−0.05,7.0,5.1,
4FGL J1900.9+0538,39.03,0.47,5.4,5.2,
4FGL J1901.1+0730,40.72,1.26,4.5,3.6,
4FGL J1902.2+0448,38.45,−0.22,6.3,3.5,
4FGL J1903.8+0531,39.26,−0.24,4.7,5.8,spp
4FGL J1906.2+0631,40.43,−0.30,5.3,3.6,spp
4FGL J1906.9+0712,41.12,−0.15,7.9,3.1,
4FGL J1908.7+0812,42.20,−0.08,6.4,5.6,
4FGL J1908.8−0131,33.55,−4.57,7.5,8.6,
4FGL J1911.0+0905,43.25,−0.18,9.1,6.9,snr
4FGL J1912.5+1320,47.19,1.47,4.8,6.0,
4FGL J1912.7+0957,44.21,−0.15,7.0,4.1,
4FGL J1915.3+1149,46.15,0.15,6.6,5.3,
4FGL J1916.3+1108,45.67,−0.37,4.6,4.1,spp
4FGL J1918.1+1215,46.87,−0.25,6.0,3.6,spp
4FGL J1920.9+1408,48.85,0.04,4.8,6.5,unk
4FGL J1923.2+1408e,49.12,−0.46,11.4,19.0,SNR
4FGL J1925.3+1522,50.43,−0.32,4.1,3.4,
4FGL J1928.4+1801,53.12,0.29,2.4,4.2,unk
4FGL J1929.0+1729,52.72,−0.09,6.8,5.2,
4FGL J1931.1+1656,52.48,−0.79,7.0,7.8,
4FGL J1934.3+1859,54.65,−0.47,5.4,5.2,spp
4FGL J1946.1+2436,60.87,−0.09,3.9,3.7,unk
4FGL J1836.5−0651e,25.13,0.16,2.1,6.2,,,pwn
4FGL J1836.8−0727,24.65,−0.18,5.8,3.6,,,unk
4FGL J1839.0−1502,18.13,−4.13,1.9,3.8,,,
4FGL J1839.4−0553",26.33,−0.03,11.9,6.2,,,unk
4FGL J1840.8−0453e,27.37,0.12,5.7,6.3,,,spp
4FGL J1842.5−0359,28.37,0.16,5.7,4.3,,,unk
4FGL J1844.4−0306,29.37,0.13,6.5,4.7,,,unk
4FGL J1845.8−0831,24.71,−2.63,4.2,4.4,,,spp
4FGL J1847.2−0141,30.95,0.16,6.4,3.1,,,
4FGL J1849.4−0056,31.86,0.02,5.6,3.1,,,snr
4FGL J1850.3−0031,32.35,−0.00,4.7,3.9,,,spp
4FGL J1851.5+0718,39.46,3.30,3.0,4.8,,,
4FGL J1852.4+0037e",33.60,0.07,5.0,7.1,,,spp
4FGL J1852.6+0203,34.90,0.67,2.4,3.2,,,
4FGL J1853.2−0922,24.77,−4.67,2.8,4.7,,,
4FGL J1853.6−0620,27.53,−3.39,1.7,3.3,,,
4FGL J1855.2+0456",37.77,1.40,4.1,5.3,,,
4FGL J1855.3−0740,26.53,−4.35,5.3,4.6,,,
